Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,36.665001,36.965000,36.275002,36.590000,33.361931,900200
2014-01-03,37.145000,37.455002,36.924999,37.259998,33.972816,1615200
2014-01-06,37.630001,37.799999,36.924999,37.014999,33.749435,1437200
2014-01-07,37.200001,37.410000,36.724998,36.994999,33.731209,1223600
2014-01-08,36.930000,37.935001,36.889999,37.900002,34.556358,1672600
2014-01-09,38.255001,40.099998,38.255001,38.695000,35.281227,2613600
2014-01-10,38.570000,39.744999,38.500000,39.540001,36.051682,1499400
2014-01-13,39.730000,39.845001,38.369999,38.724998,35.308571,1523600
2014-01-14,38.889999,39.740002,38.740002,39.689999,36.188438,1403200
2014-01-15,39.685001,39.825001,39.009998,39.365002,35.892117,1523600
2014-01-16,39.279999,39.825001,39.134998,39.584999,36.092701,802200
2014-01-17,39.645000,39.825001,39.174999,39.255001,35.791821,1021400
2014-01-21,39.884998,40.590000,39.645000,40.029999,36.498440,2652000
2014-01-22,40.064999,40.970001,40.025002,40.935001,37.323620,2288800
2014-01-23,41.000000,41.000000,39.529999,40.674999,37.086544,2202600
2014-01-24,40.500000,41.040001,39.634998,39.825001,36.311527,2201600
2014-01-27,39.814999,40.020000,38.220001,39.400002,35.924023,1733200
2014-01-28,39.299999,40.410000,39.299999,39.764999,36.256828,1393400
2014-01-29,39.290001,39.814999,38.209999,38.369999,34.984898,1200400
2014-01-30,38.855000,39.285000,38.435001,38.939999,35.504601,756600
2014-01-31,39.270000,40.000000,39.049999,39.535000,36.047119,1762600
2014-02-03,39.299999,39.485001,37.330002,37.345001,34.050323,2608400
2014-02-04,37.174999,37.955002,36.310001,37.810001,34.474304,2251600
2014-02-05,37.570000,37.910000,37.230000,37.549999,34.237236,1373400
2014-02-06,37.584999,38.770000,37.584999,38.169998,34.802536,1637800
2014-02-07,38.285000,38.955002,38.270000,38.910000,35.477249,1632800
2014-02-10,38.955002,39.000000,37.825001,38.355000,34.971222,1459000
2014-02-11,38.575001,38.935001,37.705002,38.755001,35.335930,1683200
2014-02-12,38.755001,39.185001,38.380001,39.119999,35.668724,1463800
2014-02-13,38.470001,40.250000,38.470001,39.730000,36.224911,2090000
2014-02-14,39.799999,41.000000,39.605000,40.744999,37.150364,1911600
2014-02-18,40.560001,40.945000,39.435001,39.490002,36.006088,1722600
2014-02-19,39.294998,39.669998,39.119999,39.169998,35.714302,1010800
2014-02-20,39.255001,40.119999,39.189999,40.084999,36.548592,1185600
2014-02-21,40.075001,41.025002,40.070000,40.770000,37.406460,1608200
2014-02-24,40.840000,42.055000,40.840000,41.750000,38.305599,1422200
2014-02-25,42.939999,43.264999,42.150002,42.544998,39.035023,1790800
2014-02-26,42.785000,43.264999,42.040001,42.939999,39.397430,1370600
2014-02-27,42.895000,43.634998,42.779999,43.150002,39.590096,1117600
2014-02-28,42.990002,43.720001,42.919998,43.320000,39.746071,1276800
2014-03-03,42.689999,43.340000,42.150002,43.055000,39.502945,1076800
2014-03-04,43.549999,44.805000,43.529999,44.555000,40.879200,1634000
2014-03-05,44.555000,44.990002,44.520000,44.735001,41.044338,1107000
2014-03-06,44.855000,45.865002,44.845001,45.470001,41.718704,1396600
2014-03-07,45.605000,45.735001,44.259998,44.700001,41.012234,1614400
2014-03-10,44.520000,45.419998,44.270000,44.459999,40.792030,828400
2014-03-11,44.680000,45.084999,44.099998,44.404999,40.741558,1066200
2014-03-12,44.279999,44.654999,43.939999,44.415001,40.750740,883600
2014-03-13,44.445000,44.615002,43.195000,43.705002,40.099308,1496600
2014-03-14,44.029999,45.985001,43.880001,45.744999,41.971008,1939000
2014-03-17,46.134998,46.544998,45.285000,45.950001,42.159103,1590400
2014-03-18,45.930000,46.889999,45.930000,46.279999,42.461876,1399600
2014-03-19,46.209999,46.974998,46.035000,46.189999,42.379299,1421400
2014-03-20,46.099998,46.320000,45.514999,46.209999,42.397652,1118800
2014-03-21,46.599998,46.825001,45.360001,45.380001,41.636127,1910800
2014-03-24,45.660000,46.139999,44.799999,45.660000,41.893024,1387000
2014-03-25,45.959999,46.910000,45.884998,46.415001,42.585739,1598800
2014-03-26,46.814999,46.955002,45.830002,46.009998,42.214149,1636000
2014-03-27,45.759998,46.154999,45.035000,45.790001,42.012302,1148600
2014-03-28,45.750000,46.715000,45.255001,45.365002,41.622372,1417600
2014-03-31,45.575001,46.805000,45.410000,46.654999,42.805931,1275600
2014-04-01,46.365002,47.060001,45.759998,47.049999,43.168362,1990400
2014-04-02,47.000000,47.990002,46.810001,47.439999,43.526176,1842600
2014-04-03,47.294998,47.750000,46.779999,47.404999,43.494064,1621200
2014-04-04,47.525002,47.730000,45.845001,46.165001,42.356361,1818800
2014-04-07,45.974998,46.650002,44.474998,44.910000,41.204903,2768800
2014-04-08,45.189999,45.570000,43.910000,45.404999,41.659061,2598600
2014-04-09,45.840000,47.889999,45.500000,47.520000,43.599583,2521800
2014-04-10,47.430000,47.540001,45.715000,45.834999,42.053581,2620600
2014-04-11,45.500000,46.514999,44.709999,45.259998,41.526035,1597200
2014-04-14,45.779999,46.020000,44.110001,44.674999,40.989292,1311200
2014-04-15,44.880001,45.490002,43.919998,44.924999,41.218666,1244200
2014-04-16,44.990002,46.250000,44.990002,46.160000,42.351776,1396000
2014-04-17,46.160000,46.705002,45.485001,46.470001,42.636200,1184400
2014-04-21,46.470001,46.470001,45.689999,46.310001,42.489403,1117200
2014-04-22,46.540001,47.340000,46.470001,46.895000,43.026146,1127600
2014-04-23,47.465000,48.384998,47.375000,47.980000,44.021618,2069800
2014-04-24,48.044998,48.110001,46.935001,47.375000,43.466534,2436000
2014-04-25,47.525002,47.825001,46.435001,46.715000,42.860996,1657600
2014-04-28,47.200001,47.299999,45.860001,46.685001,42.833477,1535800
